id,date,source,transaction,transaction_group,category,category_group,area,area_group,price_usd,price_text,size_m2,land_dunum,floor,price_per_m2,score,has_photos,tags,parse_confidence,needs_review,raw_text
9d5db839e6,2026-09-01,uploaded WhatsApp dump Aug 25-Sep 1,بيع/إيجار,بيع/إيجار,تجاري,محل تجاري,قرى الشام,قرى الشام,8000000.0,8000 الاف $,500.0,,,16000.0,10,True,حديقة; صور; تجاري; كراج,high,False,"للبيع  او للاجار🎯
فيلا تواميه
 بقرى الشام بالجزيرة الأولى قريبة من ماركت الحرية 
مساحة الارض ٥٠٠ م فيها حديقة أمامية وحديقة خلفية بالإضافة لكراج يتسع لسيارتين 
الفيلا عبارة عن طابقين كل طابق مساحته ٨٠ م 
الطابق الأول فيه انتريه وصالون بشكل حرف L ومطبخ وحمام 
الطابق الثاني فيه صوفا وثلاث غرف نوم وحمام 
ملاحظة : الفيلا قابلة ان تكون ثلاثة طوابق بعد ازالة المدرجات  
المطلوب  البيع  290 ألف $ سكرا
االمطلوب الاجار 8000 الاف $ وعمولة شهر للمكتب
يوجد صور للزبون المعتمد🎯"
9a927628dd,2026-09-01,uploaded WhatsApp dump Aug 25-Sep 1,إيجار,إيجار,تجاري,محل تجاري,المزرعة,المزرعة,100000.0,100 الف $,80.0,,,,9,False,صور; تجاري,high,False,"للاجار محل🪷
 تجاري يصلح لاي عمل 
 بموقع مميز جداً 
كسوة ممتازة
في مرشد خاطر يصل ٥ شوارع رئيسية
٨٠ متر ب.ح
١٠٠ الف $ سنوياً
لا يوجد صور🪷"
e6a2b2b405,2026-09-01,uploaded WhatsApp dump Aug 25-Sep 1,بيع,بيع,شقة/سكني,سكني,خالد ابن الوليد,خالد ابن الوليد,110000.0,110الف دولار,105.0,,"قبو, ملحق, طابق ثالث",1047.62,10,True,سطح; قبو; مصعد; صور; برندا,high,False,"للبيع منزل 
🌈🌈🌈🌈
شارع خالدابن الوليدقرب جامع زيد  مقابل مشفى الكندي
طابق تالت ملحق
المساحة105م بلاطة
توزيع 3غرف وصالون
كسوة سوبرديلوكس بناءجديد
اتجاه شرقي ومنورعلقبلي
يوجدحصة بسطح وبلقبو
برندات لايوجد
مصعدلايوجد مع قابلية تركيب 
ملكية حكم محكمة قابل للتطويب
البناءمدعم ضدالزلازل
المطلوب 110الف دولار وسكرة  يوجد صور
🌈🌈"
cf25df7124,2026-09-01,uploaded WhatsApp dump Aug 25-Sep 1,إيجار,إيجار,تجاري,محل تجاري,الشعلان,الشعلان,36000.0,000 36$,150.0,,طابق ثاني,,9,False,حديقة; تجاري,high,False,"صالة للآجار 
✨️✨️✨️✨️✨️✨️
النوع : تجاري 
الموقع : شعلان ، حديقة السبكي 
المساحة : 150 متر 
ارتفاع سقف : 7 امتار 
يوجد طابق ثاني بمساحة 50 متر 
الاكساء : فوق الممتاز 
السعر : 000 36$ وبازار خفيف 
+عمولة مكتب : اجار شهر 
الدفع : سنوي
✨️✨️✨️✨️"
9e25b66b21,2026-09-01,uploaded WhatsApp dump Aug 25-Sep 1,بيع,بيع,شقة/سكني,سكني,,,135000.0,135 الف$,75.0,,"ملحق, طابق رابع",1800.0,8,True,حديقة; مصعد; صور; طاقة,medium,True,"للبيع شقه🌷
 مقابل حديقة شكو 
نزلة الدكاترة الخاني 
ملحق نظامي 
طابق رابع
مع مصعد خارجي يعمل ع الطاقة الشمسية 24 ساعة 
قبلي شمالي 
مساحة 75 متر 
كسوة ديلوكس 
غرفتين و صالون و منتفعات
طاقة شمسية ألواح +بطارية ليثيوم للبيت وطاقة مياه ساخنة
المطلوب 135 الف$ و سكرا
يوجد صور🌷"
2f26112f2b,2026-09-01,uploaded WhatsApp dump Aug 25-Sep 1,بيع,بيع,شقة/سكني,سكني,الميسات,الميسات,100000.0,100 الف,80.0,,,1250.0,10,True,حديقة; فيديو,high,False,"🌷شقه للبيع الميسات عند دوار الميسات
نزول شاحطين مشمس ومهوي 80م غرفتين وصالون وجنينه اكساء سوبر ديلوكس لسا ما انسكن البيت 
الملكية حكم محكمه قابل يصيرطابو
100 الف وبازار.🌷.
فيديوللزبون"
ba77fb162b,2026-09-01,uploaded WhatsApp dump Aug 25-Sep 1,بيع,بيع,تجاري,محل تجاري,ركن الدين,ركن الدين,76000.0,76 الف دولار,25.0,,,3040.0,9,False,تجاري,high,False,"للبيع محل تجاري 🌷
بالشرقي ركن الدين بالسوق التجاري
طابقين تحت 25 متر وفوق 27 متر 
يصلح لاي عمل تجاري
طابو ملكيه وفروغ المطلوب 76 الف دولار🌷"
ca2e92f40c,2026-09-01,uploaded WhatsApp dump Aug 25-Sep 1,إيجار,إيجار,تجاري,محل تجاري,ركن الدين,ركن الدين,400.0,مطلوب 400,33.0,,,,9,False,تجاري,high,False,"للإيجار محل 💥
بشرقي ركن الدين بالسوق التجاري
33 متر 
اكساء سوبر يصلح لاي عمل تجاري
مطلوب 400 دولار💥R"
22bb8d8587,2026-08-31,uploaded WhatsApp dump Aug 25-Sep 1,بيع,بيع,تجاري,محل تجاري,شارع العابد,شارع العابد,100000.0,100ألف$,160.0,,,625.0,9,False,تجاري,high,False,"للبيع مستودع💥
 يصلح لكافة المهن نزول شاحط صالحية شارع العابد جادة العاني مساحة 160متر 
فروغ وقابل لشراء الملكية 
السعر 100ألف$💥T"
f53f78abf9,2026-08-31,uploaded WhatsApp dump Aug 25-Sep 1,بيع,بيع,أرض/مزرعة,أرض,ركن الدين,ركن الدين,185000.0,185 الف,100.0,,"أرضي, طابق رابع",1850.0,10,True,طابو أخضر; صور; برندا,high,False,"للبيع🎯
شقة مساحة 100 متر طابو اخضر 
طابق رابع  من اصل 12 طابق
ركن الدين الشرقي خلف الهجرة والجوازات 
مطلة على مدرسة الفنون 
الاكساء جيد جدا حديث
حمامات سيراميك ومطبخ منفوض حديثا 
3 غرف  وبرندا مقززة تعتبر غرفة
ومطبخ وحمام جاكوزي  
رخام ايطالي رمادي الارضيات من افضل الانواع 
البناء مخدم اصنصيرات 24 ساعة و ناطور وكافة الخدمات 
المطلوب ١٨٥ الف وبازار  مرتب يوجد صورا🎯"
